Season,Crop,Area,Rainfall,avg_temp,PH,soil_type
Kharif     ,0,102,2763.2,16.37,7.5,Sandy soil
Whole Year ,1,176,2763.2,16.37,7.5,Sandy soil
Whole Year ,2,18168,2763.2,16.37,7.5,Clayey soil
Whole Year ,3,1,2763.2,15.36,7.5,Loamy soil
Kharif     ,0,83,3080.9,16.06,7.5,Sandy soil
Whole Year ,2,18190,3080.9,16.06,7.5,Sandy soil
Whole Year ,3,1,3080.9,16.06,7.5,Sandy soil
Kharif     ,0,189.2,2620.2,16.05,7.5,Sandy soil
Whole Year ,1,213,2620.2,16.05,7.5,Sandy soil
Whole Year ,2,18240,2620.2,16.96,7.5,Sandy soil
Whole Year ,3,5,2620.2,16.96,6.5,Sandy soil
Kharif     ,0,52,2355.9,15.67,6.5,Sandy soil
Whole Year ,1,266,2355.9,15.67,6.5,Sandy soil
Whole Year ,2,18284.74,2355.9,15.64,6.5,Sandy soil
Kharif     ,0,52.94,2460.1,15.9,6.5,Sandy soil
Whole Year ,1,66.42,2460.1,15.9,6.5,Sandy soil
Whole Year ,2,18394.7,2460.1,16.27,6.5,Sandy soil
Kharif     ,0,2.09,2954.7,16.57,6.5,Sandy soil
Whole Year ,1,22,2954.7,16.57,6.5,Sandy soil
Whole Year ,2,13876.57,2954.7,16.67,6.5,Sandy soil
Whole Year ,1,198,2404.7,16.59,6.5,Sandy soil
Whole Year ,2,14358,2404.7,16.47,6.5,Sandy soil
Whole Year ,3,0.2,2404.7,16.47,6.5,Sandy soil
Autumn     ,0,3.5,3157.1,16.16,5.5,Sandy soil
Autumn     ,3,13.4,3157.1,15.67,5.5,Loamy soil
Rabi       ,4,3.84,3157.1,15.92,5.5,Loamy soil
Whole Year ,1,593,3157.1,16.67,5.5,Loamy soil
Whole Year ,2,14560,3157.1,16.71,5.5,Loamy soil
Kharif     ,0,10779,2763.2,16.73,5.5,Loamy soil
Whole Year ,1,1531,2763.2,16.73,5.5,Loamy soil
Whole Year ,2,6992,2763.2,16.73,5.5,Loamy soil
Whole Year ,3,141,2763.2,16.52,5.5,Loamy soil
Kharif     ,0,9718,3080.9,16.45,5.5,Loamy soil
Whole Year ,2,7015,3080.9,16.7,5.5,Loamy soil
Whole Year ,3,81,3080.9,16.7,5.5,Loamy soil
Kharif     ,0,6854.3,2404.7,17.41,5.5,Loamy soil
Whole Year ,1,957.57,2404.7,17.41,5.5,Loamy soil
Whole Year ,2,3575,2404.7,17.48,5.5,Loamy soil
Whole Year ,3,71.3,2404.7,16.26,5.5,Loamy soil
Autumn     ,0,6791,3157.1,16.27,5.5,Loamy soil
Autumn     ,3,73.33,3157.1,16.27,5.5,Loamy soil
Rabi       ,5,4.75,3157.1,17,5.5,Loamy soil
Rabi       ,4,86.7,3157.1,17,5.5,Loamy soil
Whole Year ,1,657,3157.1,17.36,5.5,Loamy soil
Whole Year ,2,3668,3157.1,17.36,5.5,Loamy soil
Kharif     ,0,10695.8,2620.2,17.36,5.5,Loamy soil
Whole Year ,1,1524,2620.2,16.76,5.5,Loamy soil
Whole Year ,2,7060,2620.2,16.76,5.5,Loamy soil
Whole Year ,3,455,2620.2,17.84,5.5,Loamy soil
Kharif     ,0,10509.37,2355.9,17.84,5.5,Loamy soil
Whole Year ,1,1530,2355.9,17.14,5.5,Loamy soil
Whole Year ,2,7110,2355.9,17.14,5.5,Loamy soil
Whole Year ,3,268,2355.9,17.97,5.5,Loamy soil
Kharif     ,0,10681.98,2460.1,17.97,5.5,Loamy soil
Whole Year ,1,1912.1,2460.1,17.9,5.5,Loamy soil
Whole Year ,2,7156.7,2460.1,17.9,5.5,Loamy soil
Whole Year ,3,145.26,2460.1,18.13,5.5,Loamy soil
Kharif     ,0,8683.38,2954.7,18.13,5.5,Loamy soil
Whole Year ,1,1656.8,2954.7,17.85,5.5,Loamy soil
Whole Year ,2,7050.45,2954.7,17.85,5.5,Loamy soil
Whole Year ,3,128.02,2954.7,17.38,5.5,Loamy soil
Kharif     ,0,921.87,2404.7,17.19,5.5,Loamy soil
Whole Year ,1,483,2404.7,17.19,5.5,Loamy soil
Whole Year ,2,3483.09,2404.7,18.13,5.5,Loamy soil
Whole Year ,3,53.5,2404.7,17.42,5.5,Loamy soil
Autumn     ,0,1595.5,3157.1,17.55,5.5,Loamy soil
Autumn     ,3,67.5,3157.1,17.55,5.5,Loamy soil
Rabi       ,5,15.5,3157.1,17.78,5.5,Loamy soil
Rabi       ,4,73,3157.1,17.78,5.5,Loamy soil
Whole Year ,1,360,3157.1,17.79,5.5,Loamy soil
Whole Year ,2,3540,3157.1,17.79,5.5,Loamy soil
Kharif     ,4,2453,2545.7,17.79,5.5,Loamy soil
Kharif     ,0,3342,2545.7,17.79,5.5,Loamy soil
Rabi       ,9,30,2545.7,17.91,5.5,Loamy soil
Whole Year ,8,86,2545.7,17.91,5.5,Loamy soil
Whole Year ,3,5,2545.7,17.65,5.5,Loamy soil
Kharif     ,4,3000,2335.5,17.65,5.5,Loamy soil
Kharif     ,0,3400,2335.5,17.65,5.5,Loamy soil
Rabi       ,9,32,2335.5,24.12,5.5,Loamy soil
Whole Year ,8,90,2335.5,24.12,5.5,Loamy soil
Whole Year ,3,7,2335.5,24.12,5.5,Loamy soil
Kharif     ,4,3234,2259.6,24.02,5.5,Loamy soil
Kharif     ,0,4060,2259.6,24.02,5.5,Loamy soil
Rabi       ,9,34,2259.6,24.02,5.5,Loamy soil
Whole Year ,8,102,2259.6,23.96,5.5,Loamy soil
Whole Year ,3,7,2259.6,23.96,5.5,Loamy soil
Kharif     ,4,3360,3020.7,23.96,5.5,Loamy soil
Kharif     ,0,4085,3020.7,23.96,5.5,Loamy soil
Rabi       ,9,30,3020.7,24.15,5.5,Loamy soil
Whole Year ,8,104,3020.7,24.15,5.5,Loamy soil
Whole Year ,3,6,3020.7,24.04,5.5,Loamy soil
Kharif     ,4,3461,2244.4,24.04,5.5,Loamy soil
Kharif     ,0,3901,2244.4,24.04,5.5,Loamy soil
Rabi       ,9,30,2244.4,24.04,5.5,Loamy soil
Whole Year ,8,115,2244.4,24.56,5.5,Loamy soil
Whole Year ,3,7,2244.4,24.56,5.5,Loamy soil
Kharif     ,4,3490,1749.9,24.11,5.5,Loamy soil
Kharif     ,0,3945,1749.9,24.11,5.5,Loamy soil
Rabi       ,9,25,1749.9,24.11,5.5,Loamy soil
Whole Year ,8,120,1749.9,24.06,5.5,Loamy soil
Whole Year ,3,6,1749.9,24.06,5.5,Loamy soil
Kharif     ,4,3450,2855.7,24.06,5.5,Loamy soil
Kharif     ,0,3949,2855.7,24.06,5.5,Loamy soil
Rabi       ,9,10,2855.7,24.96,5.5,Loamy soil
Whole Year ,8,110,2855.7,24.96,5.5,Loamy soil
Kharif     ,4,3560,2193.7,24.37,5.5,Loamy soil
Kharif     ,0,3489,2193.7,24.37,5.5,Loamy soil
Rabi       ,9,10,2193.7,24.37,5.5,Loamy soil
Whole Year ,8,117,2193.7,24.41,5.5,Loamy soil
Kharif     ,4,3995,3440.3,24.41,5.5,Loamy soil
Kharif     ,0,3561,3440.3,24.41,5.5,Loamy soil
Rabi       ,9,13,3440.3,24.41,5.5,Loamy soil
Whole Year ,8,120,3440.3,24.43,5.5,Loamy soil
Kharif     ,4,3595,2042.9,24.43,5.5,Loamy soil
Kharif     ,0,3561,2042.9,24.43,5.5,Loamy soil
Rabi       ,9,13,2042.9,24.79,5.5,Loamy soil
Whole Year ,8,120,2042.9,24.79,5.5,Loamy soil
Kharif     ,4,1290,2403.2,24.79,5.5,Loamy soil
Kharif     ,0,3561,2403.2,24.79,5.5,Loamy soil
Whole Year ,8,33,2403.2,24.22,5.5,Loamy soil
Kharif     ,4,1520,2274.9,24.22,5.5,Loamy soil
Kharif     ,0,11500,2274.9,24.22,5.5,Loamy soil
Rabi       ,5,285,2274.9,24.41,5.5,Loamy soil
Rabi       ,3,230,2274.9,24.41,5.5,Loamy soil
Rabi       ,9,240,2274.9,24.41,5.5,Loamy soil
Kharif     ,4,1575,3616.7,24.14,5.5,Loamy soil
Kharif     ,0,11550,3616.7,24.14,5.5,Loamy soil
Rabi       ,5,120,3616.7,24.14,5.5,Loamy soil
Rabi       ,9,225,3616.7,24.24,5.5,Loamy soil
Whole Year ,8,350,3616.7,24.24,5.5,Loamy soil
Whole Year ,3,240,3616.7,24.24,5.5,Loamy soil
Kharif     ,4,1620,2316.6,24.27,5.5,Loamy soil
Kharif     ,0,11600,2316.6,24.27,5.5,Loamy soil
Rabi       ,9,225,2316.6,24.27,5.5,Loamy soil
Whole Year ,8,350,2316.6,24.27,5.5,Loamy soil
Whole Year ,3,255,2316.6,24.33,5.5,Loamy soil
Kharif     ,4,864,2596.8,24.33,5.5,Loamy soil
Kharif     ,0,11925,2596.8,24.33,5.5,Loamy soil
Rabi       ,9,225,2596.8,24.33,5.5,Loamy soil
Whole Year ,8,755,2596.8,24.44,5.5,Loamy soil
Whole Year ,3,215,2596.8,24.44,5.5,Loamy soil
Kharif     ,4,985,2036,24.44,5.5,Loamy soil
Kharif     ,0,11857,2036,24.44,5.5,Loamy soil
Rabi       ,9,200,2036,24.15,5.5,Loamy soil
Whole Year ,8,25,2036,24.15,5.5,Loamy soil
Whole Year ,3,220,2036,24.15,5.5,Loamy soil
Kharif     ,4,915,2389.2,24.24,5.5,Loamy soil
Kharif     ,0,11860,2389.2,24.24,5.5,Loamy soil
Rabi       ,9,200,2389.2,24.24,5.5,Loamy soil
Whole Year ,8,50,2389.2,24.55,5.5,Loamy soil
Whole Year ,3,170,2389.2,24.55,5.5,Loamy soil
Kharif     ,4,918,2451.8,24.55,5.5,Loamy soil
Kharif     ,0,11867,2451.8,24.55,5.5,Loamy soil
